['373', '492', '983', '256', '283', '974', '961', '705', '696', '746', '187', '478', '566', '13', '460', '186', '626', '241', '407', '141', '713', '82', '623', '371', '305', '328', '629', '74', '98', '657', '592', '535']
['131', '361', '837', '272', '679', '14', '382', '83', '333', '346', '886', '664', '686', '111', '554', '220', '534', '253', '986', '964', '795', '792', '414', '512', '798', '681', '579', '336', '894', '31', '689', '203']
['570', '93', '777', '531', '243', '466', '25', '918', '97', '46', '717', '120', '1', '106', '134', '267', '266', '624', '865', '564', '231', '288', '70', '273', '180', '873', '453', '228', '123', '415', '904', '701']
['842', '465', '584', '573', '902', '644', '473', '774', '349', '165', '85', '96', '245', '370', '568', '572', '987', '389', '242', '411', '436', '901', '340', '498', '182', '709', '490', '806', '494', '449', '198', '406']
['102', '909', '52', '197', '549', '758', '338', '578', '40', '136', '933', '36', '39', '703', '76', '839', '940', '311', '23', '829', '121', '791', '42', '222', '678', '753', '511', '6', '803', '480', '278', '184']
['666', '521', '428', '292', '897', '4', '434', '213', '614', '291', '26', '239', '688', '73', '476', '773', '817', '450', '412', '635', '29', '676', '8', '171', '601', '945', '988', '611', '650', '782', '719', '866']
['556', '931', '670', '81', '174', '985', '87', '980', '306', '110', '458', '580', '553', '384', '510', '176', '50', '863', '507', '268', '250', '615', '129', '958', '212', '711', '224', '240', '380', '446', '149', '183']
['825', '921', '835', '248', '663', '547', '493', '846', '252', '331', '59', '965', '24', '857', '884', '270', '915', '30', '424', '982', '684', '313', '847', '178', '497', '875', '995', '598', '33', '282', '530', '558']
['327', '91', '824', '262', '596', '128', '503', '94', '209', '892', '752', '878', '724', '756', '989', '628', '261', '388', '698', '386', '441', '943', '7', '84', '815', '417', '195', '234', '607', '939', '107', '90']
['586', '150', '546', '779', '895', '47', '673', '630', '555', '658', '708', '715', '898', '459', '289', '888', '966', '799', '383', '813', '827', '551', '244', '794', '978', '790', '757', '95', '991', '127', '845', '225']
['63', '68', '472', '599', '137', '146', '322', '524', '99', '54', '912', '971', '202', '227', '55', '397', '526', '368', '976', '941', '440', '455', '297', '10', '108', '45', '48', '783', '668', '421', '523', '861']
['957', '649', '785', '237', '300', '509', '737', '308', '427', '577', '351', '69', '525', '638', '508', '173', '448', '62', '0', '618', '2', '148', '477', '996', '321', '890', '667', '235', '400', '730', '948', '923']
['661', '910', '66', '600', '418', '828', '372', '765', '463', '447', '403', '326', '914', '855', '139', '296', '461', '687', '745', '911', '330', '77', '768', '775', '413', '560', '432', '819', '454', '229', '21', '44']
['126', '279', '811', '683', '425', '341', '840', '887', '736', '119', '787', '880', '575', '204', '582', '856', '451', '627', '391', '210', '922', '515', '541', '158', '930', '356', '900', '643', '113', '190', '179', '707']
['563', '219', '433', '27', '290', '286', '671', '997', '908', '162', '396', '206', '874', '112', '932', '181', '973', '193', '936', '848', '903', '114', '51', '481', '486', '741', '637', '217', '67', '499', '255', '778']
['109', '189', '319', '929', '15', '760', '720', '648', '704', '215', '329', '818', '631', '532', '585', '347', '505', '581', '194', '645', '669', '12', '249', '610', '264', '502', '405', '153', '685', '445', '603']
['360', '369', '154', '899', '163', '550', '72', '334', '170', '506', '814', '471', '17', '56', '216', '483', '998', '169', '275', '86', '548', '767', '284', '317', '942', '748', '246', '602', '161', '853', '185', '744']
['640', '597', '693', '750', '378', '590', '952', '495', '392', '192', '682', '975', '885', '789', '28', '118', '514', '951', '376', '739', '343', '545', '387', '496', '870', '916', '937', '734', '100', '390', '513', '963']
['804', '358', '770', '763', '175', '367', '772', '808', '622', '609', '172', '913', '859', '438', '489', '830', '589', '617', '543', '359', '285', '318', '208', '754', '116', '636', '467', '834', '632', '401', '3', '809']
['263', '871', '869', '395', '19', '377', '826', '469', '800', '621', '844', '218', '625', '307', '64', '747', '641', '562', '882', '135', '807', '540', '907', '619', '362', '816', '797', '642']
['536', '743', '152', '92', '977', '788', '65', '662', '435', '843', '352', '9', '200', '738', '22', '363', '877', '145', '893', '796', '274', '37', '276', '938', '633', '342', '177', '125', '852', '348', '593', '833']
['574', '956', '784', '104', '854', '374', '332', '484', '613', '124', '706', '257', '168']
